id,name,type,sport_type,start_date_local,distance,moving_time,elapsed_time,total_elevation_gain,elev_high,elev_low,average_speed,max_speed,average_heartrate,max_heartrate,average_cadence,average_watts,suffer_score,calories,start_latlng,end_latlng,achievement_count,kudos_count,trainer,commute,manual,gear_id,description,distance_km,moving_time_min,pace_min_km,pace_str
17916761408,Afternoon Walk,Walk,Walk,2026-03-30T14:53:04Z,4330.9,3314,4352,86.2,34.0,0.0,1.307,9.057,105.5,153.0,,,8.0,,"-37.648878,176.191815","-37.636327,176.182657",0,1,0,0,0,,,4.3309,55.23,12.7533,12:45
17880443575,Morning Run,Run,Run,2026-03-28T08:05:00Z,5013.0,1957,1990,33.0,20.2,14.2,2.562,3.86,189.5,206.0,,168.2,113.0,,"-36.865003,174.722116","-36.864602,174.721271",18,6,0,0,0,g26095750,,5.013,32.62,6.5064,6:30
17869104560,Morning Run,Run,Run,2026-03-27T07:46:48Z,5011.4,2275,2303,12.0,10.0,2.6,2.203,3.44,176.9,191.0,,149.5,86.0,,"-36.843557,174.768597","-36.850515,174.817469",0,3,0,0,0,g26095750,,5.0114,37.92,7.5661,7:33
17800979912,Morning Run,Run,Run,2026-03-21T09:05:50Z,5035.2,2044,2044,5.0,6.8,2.0,2.463,3.94,172.3,186.0,,162.1,65.0,,"51.479037,-0.15988","51.477862,-0.16299",0,4,0,0,0,g26095750,,5.0352,34.07,6.7657,6:45
17765297544,Morning Walk,Run,Run,2026-03-18T10:39:54Z,5078.4,3175,3213,18.2,31.4,20.6,1.599,3.4,143.5,180.0,,111.0,25.0,,"51.461583,-0.139671","51.461909,-0.138043",2,1,0,0,0,g26095750,,5.0784,52.92,10.4199,10:25
17755992666,Lunch Workout,Workout,Workout,2026-03-17T12:04:14Z,0.0,2744,2744,0,0.0,0.0,0.0,0.0,132.1,178.0,,,14.0,,,,0,0,1,0,0,,,,45.73,,
17744177394,Afternoon Run,Run,Run,2026-03-16T15:57:00Z,10022.1,4484,4609,35.2,13.2,1.6,2.235,5.3,168.7,196.0,,147.4,125.0,,"51.475728,-0.15647","51.476382,-0.156085",0,2,0,0,0,g27048336,,10.0221,74.73,7.4569,7:27
17685204455,Afternoon Run,Run,Run,2026-03-11T13:11:14Z,5017.3,2382,2446,36.6,8.8,-1.2,2.106,3.76,149.7,168.0,,137.8,26.0,,"51.457179,-0.194108","51.476025,-0.158401",15,0,0,0,0,g26095750,,5.0173,39.7,7.9126,7:54
17672201511,Lunch Workout,Workout,Workout,2026-03-10T12:09:34Z,0.0,2916,2916,0,0.0,0.0,0.0,0.0,111.7,169.0,,,8.0,,,,0,0,1,0,0,,,,48.6,,
17665082676,Padel,Workout,Tennis,2026-03-09T19:36:01Z,0.0,4239,4239,0,0.0,0.0,0.0,0.0,95.1,127.0,,,8.0,,,,0,4,1,0,0,,,,70.65,,
17665082840,Evening Run,Run,Run,2026-03-09T19:22:50Z,1198.8,553,560,0.0,10.6,3.2,2.168,2.86,145.4,162.0,,140.5,3.0,,"51.475019,-0.156147","51.4812,-0.153755",0,0,0,0,0,g27048336,,1.1988,9.22,7.6882,7:41
17660107891,Lunch Run,Run,Run,2026-03-09T12:13:18Z,3942.1,1911,1958,9.8,27.4,13.4,2.063,3.96,148.7,176.0,,143.2,19.0,,"51.462168,-0.141404","51.463522,-0.133107",13,3,0,0,0,g27048336,,3.9421,31.85,8.0795,8:04
